Date,Open,High,Low,Close,Volume
2023-12-11,4444.8346,4495.7338,4347.7623,4469.8685,
2023-12-12,4458.0998,4522.2888,4418.8224,4494.9056,
2023-12-13,4483.2242,4509.9189,4430.6745,4444.3477,
2023-12-14,4466.8350,4498.7562,4416.6777,4430.0349,
2023-12-15,4442.6873,4476.5890,4382.9930,4395.0213,
2023-12-18,4384.9820,4453.7622,4353.8603,4411.0959,
2023-12-19,4408.5380,4439.5083,4366.6455,4416.9454,
2023-12-20,4418.4589,4452.8874,4360.7371,4371.8235,
2023-12-21,4359.3783,4411.5178,4331.5607,4380.9394,
2023-12-22,4381.0639,4432.4465,4349.8167,4392.6690,
2023-12-25,4382.7458,4435.3766,4361.2440,4405.0474,
2023-12-26,4402.9669,4434.8455,4356.8697,4393.3672,
2023-12-27,4399.2188,4457.1371,4361.3218,4427.6829,
2023-12-28,4431.0864,4533.1658,4383.5512,4472.7312,
2023-12-29,4463.8932,4528.6006,4439.1825,4495.8936,
2024-01-02,4494.1859,4536.0271,4431.7996,4463.9867,
2024-01-03,4455.5799,4521.8538,4417.5682,4478.6426,
2024-01-04,4476.9832,4523.5613,4411.2277,4468.4614,
2024-01-05,4458.6990,4525.9462,4406.5260,4446.3559,
2024-01-08,4440.3446,4470.5148,4372.0055,4394.2786,
2024-01-09,4389.9126,4432.9678,4336.9220,4392.9794,
2024-01-10,4381.0812,4417.9335,4326.2691,4349.3316,
2024-01-11,4343.6134,4383.3921,4283.4758,4327.8578,
2024-01-12,4315.2685,4373.0582,4285.8408,4329.1341,
2024-01-15,4313.8968,4373.0933,4280.7216,4336.6402,
2024-01-16,4325.6489,4377.6520,4291.8709,4359.7467,
2024-01-17,4347.6356,4377.7252,4286.3864,4288.9643,
2024-01-18,4279.4439,4347.7649,4163.1684,4319.5912,
2024-01-19,4303.4250,4352.8751,4256.7113,4315.9525,
2024-01-22,4319.8245,4369.0449,4229.6866,4272.2196,
2024-01-23,4249.8585,4321.4752,4192.3909,4282.8552,
